Category: All categories

Week,Diablo IV: (United States),The Legend of Zelda: (United States),Hogwarts Legacy: (United States),Stardew Valley: (United States),God of War Ragnarök: (United States)
2022-06-12,2,4,1,12,1
2022-06-19,<1,4,1,15,1
2022-06-26,<1,4,1,15,1
2022-07-03,<1,4,1,15,2
2022-07-10,<1,4,1,15,2
2022-07-17,<1,4,1,15,1
2022-07-24,<1,4,1,15,1
2022-07-31,<1,4,1,12,1
2022-08-07,<1,4,1,12,1
2022-08-14,<1,4,1,11,1
2022-08-21,<1,4,2,10,1
2022-08-28,<1,3,2,9,1
2022-09-04,<1,4,2,9,1
2022-09-11,<1,6,1,8,2
2022-09-18,<1,4,1,8,1
2022-09-25,<1,4,1,8,1
2022-10-02,<1,4,1,7,1
2022-10-09,<1,5,1,7,1
2022-10-16,<1,4,1,7,2
2022-10-23,<1,3,1,7,3
2022-10-30,<1,4,1,7,9
2022-11-06,<1,3,2,7,23
2022-11-13,<1,4,2,8,20
2022-11-20,<1,4,2,8,16
2022-11-27,<1,4,1,7,11
2022-12-04,2,4,1,7,9
2022-12-11,2,4,3,8,7
2022-12-18,1,4,3,10,6
2022-12-25,1,6,3,13,8
2023-01-01,1,5,3,12,6
2023-01-08,1,4,4,12,4
2023-01-15,1,5,5,13,4
2023-01-22,1,5,9,12,3
2023-01-29,1,4,15,13,3
2023-02-05,1,8,100,12,3
2023-02-12,1,6,83,12,2
2023-02-19,1,6,51,13,2
2023-02-26,2,5,33,12,2
2023-03-05,3,4,22,11,2
2023-03-12,15,5,16,12,2
2023-03-19,23,5,12,11,2
2023-03-26,12,8,10,11,1
2023-04-02,2,6,9,11,2
2023-04-09,2,8,7,11,2
2023-04-16,2,8,5,10,1
2023-04-23,1,8,5,10,1
2023-04-30,2,11,8,9,1
2023-05-07,8,26,11,10,1
2023-05-14,7,37,8,9,1
2023-05-21,5,29,7,9,1
2023-05-28,35,24,6,10,1
